"team","games_played","wins","loses","average_game_duration","kills","deaths","kd","combined_kills_per_minute","gold_percent_rating","gold_spent_difference","early_game_rating","mid_late_rating","gold_diff_15","first_blood_rate","first_tower_rate","first_to_three_towers_rate","turrent_plates_destroyed","rift_herald_rate","first_dragon_rate","dragon_control_rate","elder_dragon_rate","first_baron_rate","baron_control_rate","lane_control","jungle_control","wards_per_minute","control_wards_per_minute","wards_cleared_per_minute"
"Beyond Gaming",13,5,8,32.2,198,215,0.92,0.99,-0.1,"-1.6%",63.6,-30.3,293,"46%","77%","62%",5.7,"48%","46%","47%","0%","31%","44%","49.7%","46.3%",3.39,1.27,1.41
"Cloud9",8,6,2,29,152,89,1.71,1.04,1.75,"13.9%",63.9,-3.9,2727,"50%","75%","75%",6.6,"44%","50%","69%","0%","50%","71%","51.3%","58.9%",3.19,1.1,1.27
"DetonatioN FocusMe",5,4,1,32.2,82,38,2.16,0.75,1.18,"6.4%",40.2,34.8,746,"60%","40%","40%",5.2,"60%","40%","55%","100%","80%","86%","50.3%","48.3%",3.18,1.36,1.58
"Galatasaray Esports",9,4,5,32.7,124,168,0.74,0.99,-0.9,"-4.2%",43.5,36.5,-1176,"56%","22%","22%",4.4,"41%","56%","43%","100%","44%","36%","49.7%","51.6%",3.4,1.4,1.54
"Hanwha Life Esports",7,6,1,29.4,114,64,1.78,0.86,2.33,"13.2%",79.8,-13.1,2637,"57%","57%","86%",6.7,"64%","86%","80%",,"71%","71%","52.9%","57.2%",3.21,1.49,1.75
"INFINITY",4,0,4,30.5,34,69,0.49,0.84,-2.05,"-15.9%",31,-31,-2722,"25%","25%","25%",3,"50%","75%","31%",,"0%","0%","47.8%","43.3%",3.78,1.41,1.33
"LNG Esports",4,4,0,29.5,69,18,3.83,0.74,2.42,"16.7%",68.7,31.3,3041,"75%","100%","75%",6.3,"38%","0%","60%",,"50%","100%","52.9%","58.1%",3.15,1.05,1.76
"PEACE",12,5,7,27.2,169,194,0.87,1.11,-0.36,"-5.9%",49.7,-12.2,-839,"50%","42%","42%",5.4,"63%","58%","46%",,"33%","44%","49.6%","47.5%",3.32,1.44,1.33
"RED Canids",9,3,6,28.1,103,158,0.65,1.03,-1.54,"-5.9%",25.1,14.9,-1943,"56%","22%","33%",3.2,"33%","33%","41%",,"44%","44%","48.5%","46.5%",3.4,1.58,1.18
"Unicorns of Love.CIS",5,1,4,30.5,55,91,0.6,0.95,-1.97,"-11.3%",39.7,-14.7,-2190,"20%","40%","40%",4.4,"60%","40%","30%",,"20%","17%","47.7%","45.3%",2.68,0.97,1.33